headline,sentiment,confidence
"Nvidia earnings: They're accelerating into growth, not slowing down",positive,0.6831756234169006
Nvidia's $80 billion stock buyback and bigger dividend may unleash an Apple-like stock move,negative,0.860487699508667
"The $300,000 Mistake: Financial Advisor Explains Why Waiting to Buy VOO Is Costing You Compounding",neutral,0.825160026550293
Apple asks US Supreme Court to review contempt order in Epic Games lawsuit,negative,0.853216826915741
Canadian regulator triples US streamers' financial contributions to Canadian content,neutral,0.9058542251586914
"As Meta Misfires And Apple Shines, Amazon Stock Has Wall Street Smiling. Here's Why.",neutral,0.8573011755943298
Apple Stock Is On The Rise After Recent Earnings Release. Is It A Buy Now?,neutral,0.5389729738235474
Amkor working with AMD on advanced packaging after acquiring more land in Arizona,positive,0.6561821103096008
SpaceX unveils $1.29B bitcoin stash in high-valuation IPO filing,neutral,0.7745769023895264
Should You Buy Taiwan Semiconductor (TSM) in 2026?,neutral,0.9257615804672241
