Ticker,Name,Sector,Market,Beta,Momentum,Value,Quality,Size,Dividend,Technical,Composite,Rank
JPM,JPMorgan Chase,Financials,SP500,1.08,44.1,90,90,35,100,65,85.1,1
GOOGL,Alphabet,Technology,SP500,1.13,37.4,60,100,20,100,65,80.8,2
NVDA,Nvidia,Technology,SP500,1.76,177.7,60,100,20,40,95,79.9,3
WBC.AX,Westpac,Financials,ASX,0.34,50.6,90,70,35,100,65,79.3,4
CBA.AX,Commonwealth Bank,Financials,ASX,0.37,43.5,70,80,35,100,65,77.8,5
V,Visa,Financials,SP500,1.02,22.0,60,85,35,100,65,75.7,6
MQG.AX,Macquarie Group,Financials,ASX,0.43,27.4,80,73,55,100,55,74.9,7
MSFT,Microsoft,Technology,SP500,1.17,13.8,65,92,20,100,62,74.6,8
AAPL,Apple,Technology,SP500,1.17,31.6,50,85,20,100,60,74.0,9
ANZ.AX,ANZ Bank,Financials,ASX,0.4,18.1,90,70,35,100,45,70.8,10
BRK-B,Berkshire Hathaway,Financials,SP500,0.81,26.8,100,73,20,10,55,68.7,11
WES.AX,Wesfarmers,Consumer Discretionary,ASX,0.37,30.9,60,47,55,100,65,68.5,12
CSL.AX,CSL Limited,Healthcare,ASX,0.31,0.7,95,39,55,100,70,67.7,13
JNJ,Johnson and Johnson,Healthcare,SP500,0.48,-5.7,60,73,35,100,75,66.5,14
RIO.AX,Rio Tinto,Materials,ASX,0.23,-7.5,75,75,35,100,57,66.0,15
FMG.AX,Fortescue Metals,Materials,ASX,0.31,-29.7,90,83,55,100,40,65.7,16
AMZN,Amazon,Consumer Discretionary,SP500,1.08,45.6,60,72,20,10,65,64.9,17
XOM,ExxonMobil,Energy,SP500,0.83,9.4,75,47,35,100,55,62.5,18
BHP.AX,BHP Group,Materials,ASX,0.3,-15.5,75,80,35,100,45,61.9,19
TLS.AX,Telstra,Communication,ASX,0.17,7.4,70,35,55,100,65,60.5,20
